gender,income_type,annual_income,employment_years,education_level,existing_loan_balance,credit_inquiries,past_due_count,payment_status,approval_status
Male,Working,80100.0,0.2,Incomplete higher,7100.0,3,0,0,Rejected
Male,Commercial associate,81600.0,2.4,Secondary,13700.0,0,0,2,Rejected
Female,Working,78700.0,7.7,Higher education,15300.0,0,1,0,Rejected
Male,Working,32200.0,10.0,Higher education,10200.0,2,1,0,Approved
Female,Working,40400.0,4.0,Higher education,10600.0,2,0,0,Rejected
Female,Working,54600.0,10.8,Secondary,4200.0,3,1,0,Rejected
Male,Commercial associate,43200.0,0.0,Secondary,36300.0,2,0,0,Rejected
Female,Commercial associate,37100.0,1.1,Secondary,7100.0,6,1,0,Rejected
Male,Pensioner,25800.0,0.0,Secondary,7800.0,5,0,1,Rejected
Male,Commercial associate,32700.0,1.8,Secondary,31300.0,0,0,0,Rejected
Male,Commercial associate,53300.0,14.3,Lower secondary,17000.0,2,0,2,Rejected
Male,Working,58000.0,17.2,Higher education,19300.0,6,1,0,Rejected
Male,Working,41900.0,7.7,Higher education,3900.0,5,0,0,Rejected
Female,Working,62000.0,3.2,Secondary,13600.0,0,0,2,Rejected
Female,Commercial associate,49300.0,5.3,Secondary,4000.0,3,0,0,Rejected
Female,Student,97800.0,9.0,Higher education,6300.0,2,1,1,Approved
Female,Working,55700.0,0.0,Secondary,39700.0,1,1,3,Rejected
Female,Commercial associate,81900.0,3.5,Secondary,5400.0,3,2,0,Approved
Male,Pensioner,65600.0,14.0,Higher education,18700.0,1,0,0,Rejected
Female,Pensioner,31900.0,1.1,Higher education,5800.0,5,0,0,Approved
Female,Commercial associate,57500.0,2.6,Academic degree,6400.0,0,0,0,Approved
Female,Commercial associate,34300.0,6.6,Secondary,55000.0,0,0,2,Rejected
Female,Commercial associate,57000.0,8.0,Higher education,11300.0,3,0,0,Rejected
Male,State servant,42800.0,3.2,Secondary,3700.0,0,1,0,Rejected
Male,Working,71100.0,6.9,Secondary,19200.0,4,0,0,Rejected
Male,State servant,32700.0,9.7,Higher education,26400.0,3,1,0,Rejected
Male,Working,60300.0,16.7,Secondary,20400.0,3,0,1,Rejected
Female,Pensioner,77500.0,5.8,Higher education,10600.0,2,0,0,Rejected
Male,Working,90100.0,6.3,Secondary,10900.0,3,1,0,Rejected
Female,Working,42500.0,14.4,Secondary,8200.0,0,0,0,Rejected
Female,Working,60400.0,3.6,Lower secondary,4800.0,4,1,0,Rejected
Female,Working,65000.0,0.0,Secondary,15100.0,3,2,0,Rejected
Male,Working,120100.0,7.8,Incomplete higher,10300.0,0,0,0,Approved
Female,Working,30700.0,12.1,Secondary,4000.0,0,0,0,Rejected
Female,Working,39700.0,8.4,Lower secondary,11500.0,4,0,1,Rejected
Male,Working,211500.0,6.0,Secondary,7100.0,1,0,0,Approved
Female,Pensioner,53000.0,0.0,Secondary,14600.0,0,0,0,Rejected
Male,State servant,25600.0,6.2,Higher education,13600.0,1,0,0,Rejected
Female,Commercial associate,46100.0,12.9,Secondary,9200.0,4,0,0,Rejected
Female,Working,17200.0,0.1,Secondary,11900.0,4,0,0,Rejected
Female,Working,66700.0,5.2,Academic degree,12700.0,2,0,0,Rejected
Male,State servant,86200.0,4.5,Higher education,22100.0,3,1,0,Approved
Female,Working,39700.0,2.9,Higher education,11600.0,3,1,2,Rejected
Female,Working,48400.0,7.8,Higher education,8300.0,3,0,0,Approved
Female,State servant,90700.0,8.8,Incomplete higher,9900.0,3,2,1,Rejected
Male,Student,27200.0,8.8,Incomplete higher,34600.0,2,1,1,Rejected
Male,Working,33000.0,1.4,Higher education,6000.0,3,2,1,Rejected
Male,Commercial associate,54000.0,0.0,Secondary,10400.0,2,1,0,Rejected
Female,Working,42700.0,7.9,Secondary,10300.0,1,0,0,Rejected
Male,Pensioner,52500.0,3.9,Higher education,10600.0,2,0,2,Rejected
Male,Working,33900.0,16.1,Incomplete higher,2800.0,1,0,2,Rejected
Male,Working,65900.0,16.3,Higher education,4700.0,1,1,2,Rejected
Female,Commercial associate,56000.0,16.9,Secondary,9900.0,1,1,default,Rejected
Female,Working,76700.0,1.6,Secondary,8000.0,5,0,0,Rejected
Female,Commercial associate,65500.0,9.5,Higher education,14500.0,1,0,0,Approved
Male,Working,65700.0,11.0,Incomplete higher,24200.0,0,0,1,Approved
Female,State servant,31200.0,10.4,Secondary,15300.0,1,1,0,Rejected
Female,Pensioner,74700.0,4.7,Higher education,13000.0,3,0,1,Rejected
Female,Commercial associate,51600.0,13.2,Higher education,16400.0,1,0,1,Rejected
Male,Pensioner,55500.0,6.5,Lower secondary,13800.0,2,0,0,Approved
Female,Working,96000.0,7.2,Secondary,11800.0,3,0,0,Approved
Male,Commercial associate,43300.0,0.0,Lower secondary,21600.0,0,0,0,Rejected
Male,Working,110000.0,9.9,Higher education,9700.0,1,1,3,Approved
Male,State servant,114700.0,5.1,Higher education,4600.0,2,1,0,Approved
Female,Pensioner,84000.0,8.9,Secondary,7800.0,3,0,0,Approved
Male,State servant,38500.0,7.7,Higher education,7000.0,2,0,0,Rejected
Male,State servant,22400.0,7.4,Higher education,40600.0,4,0,1,Rejected
Male,Student,97300.0,6.3,Secondary,25100.0,2,0,0,Rejected
Female,Working,63000.0,10.6,Secondary,13100.0,0,0,0,Approved
Female,State servant,42800.0,5.5,Higher education,7200.0,2,0,0,Rejected
Female,Commercial associate,101500.0,0.0,Higher education,21400.0,5,0,0,Rejected
Male,Working,40600.0,9.5,Secondary,12700.0,3,0,2,Rejected
Female,Commercial associate,49500.0,2.3,Secondary,9700.0,8,1,0,Rejected
Female,Working,75800.0,0.0,Secondary,12800.0,0,0,0,Approved
Female,Working,36300.0,1.2,Lower secondary,9900.0,0,0,0,Rejected
Male,Working,57000.0,8.0,Academic degree,16200.0,3,0,0,Rejected
Female,Working,97700.0,6.0,Secondary,4300.0,2,0,0,Approved
Male,Commercial associate,65800.0,0.0,Secondary,16100.0,1,0,1,Rejected
Male,State servant,105000.0,4.5,Secondary,9900.0,2,0,0,Approved
Female,Commercial associate,99700.0,12.6,Higher education,21700.0,2,0,0,Approved
Male,Commercial associate,60100.0,4.2,Incomplete higher,25500.0,1,0,0,Approved
Female,Working,20900.0,5.6,Higher education,29000.0,1,1,2,Rejected
Male,Working,36400.0,11.9,Secondary,42500.0,0,0,0,Rejected
Male,Working,84400.0,10.6,Secondary,28400.0,0,0,0,Approved
Male,Pensioner,29800.0,11.8,Secondary,21300.0,1,1,0,Approved
Female,Working,51700.0,0.0,Incomplete higher,4800.0,2,1,late,Rejected
Male,Pensioner,69700.0,15.5,Higher education,1300.0,0,1,0,Approved
Male,Pensioner,116000.0,9.8,Higher education,23200.0,0,0,0,Approved
Male,Commercial associate,46200.0,19.3,Secondary,6200.0,3,2,0,Rejected
Male,State servant,44800.0,2.4,Lower secondary,61000.0,0,2,0,Rejected
Female,Working,58500.0,0.0,Secondary,3300.0,1,0,late,Rejected
Female,State servant,70100.0,6.5,Incomplete higher,20700.0,1,0,0,Approved
Female,Pensioner,55900.0,5.1,Incomplete higher,13800.0,3,1,0,Rejected
Male,Pensioner,96000.0,9.9,Higher education,3700.0,1,0,1,Approved
Female,Commercial associate,41800.0,12.1,Incomplete higher,13700.0,2,0,0,Rejected
Female,Pensioner,63200.0,6.0,Secondary,6900.0,3,0,0,Rejected
Male,Student,73200.0,5.2,Higher education,11400.0,1,0,0,Approved
Male,Working,50000.0,9.2,Secondary,11500.0,1,0,0,Rejected
Female,Pensioner,87400.0,5.2,Higher education,6900.0,3,0,late,Rejected
Male,Pensioner,64000.0,4.7,Secondary,9300.0,3,0,1,Rejected
Female,Working,85400.0,11.9,Secondary,6400.0,0,0,0,Rejected
Male,State servant,65300.0,13.1,Secondary,2500.0,1,0,2,Rejected
Female,Working,70900.0,12.1,Secondary,13000.0,2,0,0,Approved
Male,Commercial associate,45000.0,5.6,Higher education,28300.0,4,1,0,Rejected
Male,Working,45100.0,0.0,Higher education,6700.0,1,0,0,Approved
Male,Working,103900.0,5.7,Secondary,37400.0,1,0,2,Rejected
Female,Pensioner,79700.0,2.6,Academic degree,42300.0,2,1,0,Rejected
Male,Working,37800.0,5.8,Lower secondary,8700.0,2,1,0,Rejected
Female,Working,65000.0,3.0,Secondary,10300.0,4,0,0,Rejected
Female,Working,20600.0,6.4,Secondary,8800.0,2,0,0,Rejected
Male,Commercial associate,46200.0,1.1,Higher education,4900.0,1,0,0,Rejected
Female,Pensioner,92300.0,0.0,Higher education,10300.0,0,1,0,Approved
Male,State servant,56600.0,12.9,Secondary,9500.0,2,3,1,Rejected
Male,Working,63100.0,1.5,Higher education,12800.0,1,1,late,Rejected
Female,Commercial associate,15400.0,6.5,Secondary,13300.0,2,0,0,Rejected
Male,Working,50200.0,11.5,Secondary,4600.0,1,0,3,Rejected
Female,Commercial associate,69700.0,11.3,Higher education,18000.0,2,2,1,Rejected
Male,Working,73800.0,10.6,Higher education,10200.0,3,1,2,Rejected
Female,Working,92300.0,8.1,Incomplete higher,5300.0,0,1,0,Approved
Male,Working,54500.0,10.3,Secondary,10000.0,3,0,1,Approved
Female,Commercial associate,55600.0,13.6,Secondary,13600.0,3,0,0,Rejected
Female,Commercial associate,32900.0,8.7,Secondary,31700.0,2,2,0,Rejected
Female,Working,54600.0,0.0,Secondary,28500.0,1,0,1,Approved
Other,Pensioner,33900.0,3.8,Secondary,8100.0,1,0,0,Rejected
Male,Pensioner,26100.0,10.1,Higher education,10700.0,3,1,1,Rejected
Male,Working,36700.0,3.2,Higher education,6300.0,1,0,0,Approved
Male,Pensioner,118100.0,14.9,Higher education,15200.0,1,0,0,Approved
Male,State servant,53000.0,6.2,Secondary,8500.0,1,0,0,Approved
Male,Working,66100.0,6.9,Secondary,10500.0,0,1,2,Rejected
Female,Commercial associate,47500.0,12.3,Higher education,23700.0,1,0,0,Approved
Male,Working,26700.0,5.5,Secondary,4600.0,2,0,1,Rejected
Male,Pensioner,91200.0,7.4,Incomplete higher,28500.0,4,0,0,Rejected
Female,Working,22500.0,11.2,Secondary,16200.0,3,0,0,Rejected
Female,Commercial associate,46600.0,0.0,Higher education,27700.0,1,0,0,Rejected
Male,Working,58400.0,5.0,Incomplete higher,19900.0,3,1,late,Rejected
Female,Commercial associate,66400.0,10.8,Higher education,22300.0,2,0,3,Rejected
Male,State servant,43200.0,6.8,Higher education,12400.0,3,0,0,Approved
Female,Working,26200.0,14.1,Higher education,5200.0,1,0,0,Approved
Female,State servant,41800.0,0.0,Secondary,7700.0,2,0,0,Rejected
Male,Student,42700.0,0.0,Higher education,6600.0,1,1,1,Rejected
Female,State servant,42300.0,10.5,Incomplete higher,1900.0,1,1,0,Rejected
Female,Working,92600.0,11.0,Academic degree,23700.0,3,0,0,Approved
Male,Pensioner,34700.0,5.5,Secondary,11400.0,0,0,0,Rejected
Male,Working,68600.0,8.6,Secondary,6200.0,0,1,late,Approved
Female,Working,64300.0,10.4,Higher education,41300.0,1,1,0,Rejected
Female,State servant,92200.0,2.3,Higher education,52700.0,0,0,1,Approved
Male,Commercial associate,56400.0,2.8,Secondary,4100.0,2,0,0,Approved
Other,Commercial associate,85500.0,7.5,Secondary,10300.0,1,0,0,Rejected
Male,Working,55400.0,11.2,Secondary,9800.0,3,0,0,Approved
Female,Pensioner,72800.0,0.4,Higher education,5800.0,2,0,2,Rejected
Female,Pensioner,30400.0,5.5,Secondary,23300.0,2,0,0,Rejected
Female,Working,18300.0,5.2,Secondary,1900.0,5,0,0,Approved
Female,State servant,71000.0,8.7,Secondary,34700.0,0,1,0,Approved
Male,Working,72700.0,6.5,Lower secondary,12700.0,2,0,0,Approved
Female,Working,74200.0,3.7,Secondary,39200.0,2,0,0,Rejected
Male,Commercial associate,47300.0,13.0,Secondary,12000.0,2,0,late,Rejected
Male,Student,117100.0,3.7,Higher education,9800.0,1,0,0,Approved
Male,Working,48700.0,5.0,Secondary,24500.0,3,0,2,Rejected
Female,Working,72400.0,0.0,Lower secondary,39000.0,4,0,0,Rejected
Male,Working,78200.0,2.8,Lower secondary,35000.0,0,0,2,Rejected
Male,State servant,129800.0,9.2,Secondary,2900.0,0,0,2,Approved
Male,Working,51900.0,8.2,Secondary,29300.0,2,0,0,Approved
Female,Commercial associate,44600.0,9.6,Secondary,9400.0,1,0,0,Rejected
Female,Student,30500.0,9.4,Secondary,11100.0,4,0,2,Rejected
Male,Working,120400.0,17.4,Secondary,9300.0,0,0,2,Approved
Female,Commercial associate,72400.0,2.6,Secondary,7700.0,1,1,0,Approved
Female,Commercial associate,73400.0,0.0,Secondary,10400.0,2,0,3,Approved
Male,Pensioner,243400.0,1.0,Higher education,5600.0,1,1,2,Approved
Male,Working,69300.0,2.8,Secondary,29400.0,3,0,0,Rejected
Male,Working,33300.0,1.4,Secondary,19700.0,5,1,0,Rejected
Female,Working,54800.0,7.0,Higher education,14400.0,4,2,0,Rejected
Male,Pensioner,38600.0,13.0,Secondary,9300.0,2,0,0,Rejected
Female,Pensioner,50100.0,14.5,Secondary,8100.0,2,0,2,Rejected
Male,Working,50000.0,9.1,Secondary,16700.0,2,0,2,Approved
Male,Working,46000.0,17.6,Secondary,14800.0,1,0,0,Rejected
Female,State servant,32000.0,4.6,Secondary,25700.0,2,1,0,Rejected
Female,Working,122600.0,0.0,Incomplete higher,8200.0,6,1,0,Approved
Female,Working,68500.0,12.0,Lower secondary,7600.0,2,0,0,Approved
Male,Commercial associate,54100.0,0.0,Secondary,19200.0,1,1,0,Rejected
Male,Working,84200.0,2.6,Secondary,21900.0,3,0,0,Approved
Male,Working,74000.0,9.2,Higher education,50200.0,0,0,0,Rejected
Male,Working,67800.0,6.0,Higher education,2700.0,3,0,0,Approved
Female,Working,81500.0,5.5,Secondary,30500.0,3,0,2,Rejected
Male,Commercial associate,63600.0,0.4,Secondary,13600.0,3,1,0,Rejected
Female,Pensioner,81000.0,6.4,Secondary,8500.0,2,1,0,Rejected
Female,Commercial associate,84000.0,11.7,Higher education,16800.0,4,1,late,Approved
Male,Working,64400.0,6.6,Secondary,16400.0,1,1,2,Rejected
Male,Pensioner,54200.0,2.2,Secondary,8700.0,2,0,0,Rejected
Female,Working,119200.0,0.0,Secondary,2900.0,3,0,0,Approved
Male,Pensioner,48300.0,2.3,Secondary,30600.0,3,3,0,Rejected
Male,Working,71400.0,8.5,Higher education,7100.0,2,1,0,Approved
Male,Pensioner,72100.0,8.3,Higher education,6200.0,3,1,0,Rejected
Male,Working,45500.0,2.3,Higher education,7600.0,3,2,0,Rejected
Female,Working,41600.0,0.0,Secondary,21200.0,2,2,0,Rejected
Female,Commercial associate,51100.0,8.7,Secondary,9500.0,4,0,0,Rejected
Female,Working,48000.0,1.8,Incomplete higher,7700.0,1,1,late,Rejected
Male,Working,31100.0,10.1,Higher education,16100.0,1,0,1,Rejected
Male,Pensioner,44700.0,2.6,Secondary,14500.0,2,0,0,Rejected
Female,Pensioner,67500.0,1.4,Secondary,7900.0,2,0,0,Approved
Female,Working,105800.0,7.3,Incomplete higher,2900.0,2,0,0,Rejected
Female,State servant,76800.0,18.8,Higher education,20900.0,2,1,0,Approved
Male,Pensioner,18600.0,10.4,Incomplete higher,14700.0,3,0,0,Approved
Male,State servant,79900.0,7.2,Higher education,2000.0,5,0,3,Rejected
Female,Commercial associate,46600.0,8.4,Secondary,33400.0,0,1,2,Approved
Female,Commercial associate,73400.0,0.0,Secondary,1900.0,3,1,3,Rejected
Male,Commercial associate,59500.0,0.7,Secondary,6600.0,1,1,0,Approved
Female,Commercial associate,54900.0,0.0,Higher education,7000.0,4,0,1,Rejected
Male,State servant,57200.0,15.5,Higher education,8000.0,2,0,0,Approved
Female,Working,59300.0,14.4,Secondary,7800.0,2,0,0,Approved
Female,Working,109600.0,8.5,Incomplete higher,4400.0,3,0,0,Approved
Male,Working,59300.0,7.2,Secondary,13800.0,4,0,0,Rejected
Female,State servant,97600.0,0.0,Secondary,23300.0,3,0,0,Approved
Female,Working,91400.0,5.4,Secondary,13600.0,0,0,2,Rejected
Female,Commercial associate,80800.0,15.8,Incomplete higher,15300.0,2,0,0,Rejected
Female,Pensioner,26800.0,7.2,Lower secondary,9700.0,3,0,default,Rejected
Female,Student,99000.0,3.6,Higher education,13300.0,1,1,0,Rejected
Female,Working,48700.0,0.0,Lower secondary,16100.0,0,0,0,Rejected
Female,Pensioner,82600.0,13.7,Incomplete higher,19700.0,0,0,0,Approved
Female,State servant,38700.0,6.1,Incomplete higher,7300.0,0,1,0,Rejected
Male,Working,35100.0,0.0,Incomplete higher,6600.0,1,0,2,Rejected
Male,Pensioner,145700.0,1.7,Secondary,1300.0,1,0,0,Approved
Female,Working,38900.0,0.0,Higher education,39700.0,0,1,0,Approved
Female,Commercial associate,100300.0,5.8,Higher education,38100.0,0,0,0,Approved
Male,Commercial associate,63200.0,7.6,Higher education,11700.0,1,0,1,Approved
Male,Working,49600.0,3.9,Secondary,12200.0,1,0,0,Rejected
Male,Working,58700.0,10.5,Higher education,31900.0,2,1,0,Rejected
Female,Working,33300.0,6.9,Lower secondary,4500.0,2,1,1,Rejected
Female,Working,59500.0,12.0,Secondary,6000.0,6,2,0,Rejected
Female,Commercial associate,36800.0,4.6,Academic degree,33200.0,3,1,0,Rejected
Female,Working,50100.0,22.3,Secondary,9600.0,3,1,0,Approved
Male,Working,90800.0,3.6,Secondary,5400.0,1,0,0,Approved
Female,Commercial associate,67100.0,1.8,Secondary,16700.0,2,1,0,Rejected
Female,Commercial associate,30700.0,1.2,Incomplete higher,7300.0,1,1,0,Rejected
Female,Commercial associate,87800.0,5.4,Higher education,29600.0,2,0,0,Rejected
Male,State servant,59700.0,0.0,Secondary,13200.0,2,2,0,Rejected
Female,Working,46900.0,8.0,Higher education,7500.0,6,0,0,Rejected
Male,Pensioner,83800.0,0.0,Secondary,7900.0,0,0,0,Rejected
Female,Working,55500.0,7.3,Secondary,16200.0,2,0,0,Rejected
Male,Pensioner,35400.0,0.0,Incomplete higher,10500.0,1,0,1,Rejected
Female,Student,137500.0,4.5,Higher education,9500.0,1,0,2,Rejected
Male,Pensioner,59400.0,9.6,Higher education,20200.0,1,0,2,Rejected
Male,Commercial associate,57700.0,18.5,Higher education,32200.0,3,0,0,Approved
Other,Commercial associate,49900.0,0.9,Academic degree,18400.0,2,2,0,Rejected
Male,Working,101800.0,5.7,Secondary,6900.0,2,1,0,Approved
Male,Commercial associate,47300.0,2.7,Secondary,5100.0,0,0,1,Rejected
Male,Pensioner,29900.0,2.0,Secondary,19500.0,2,0,0,Rejected
Male,Student,44100.0,2.8,Higher education,18400.0,2,1,default,Rejected
Female,Commercial associate,108800.0,10.8,Higher education,9000.0,4,0,0,Approved
Male,Working,87100.0,4.0,Higher education,10700.0,2,2,0,Approved
Male,Commercial associate,53400.0,18.2,Secondary,7200.0,1,1,1,Rejected
Male,Working,111100.0,8.7,Secondary,5200.0,4,0,0,Approved
Female,Working,83800.0,1.2,Higher education,7700.0,2,1,3,Rejected
Female,Working,53100.0,4.6,Academic degree,1000.0,0,0,0,Approved
Male,Pensioner,55600.0,2.3,Secondary,26100.0,2,1,0,Approved
Female,Working,69400.0,10.7,Secondary,3900.0,1,0,0,Approved
Female,Working,41200.0,0.0,Secondary,11900.0,3,0,0,Rejected
Female,Working,60000.0,0.0,Secondary,1600.0,2,2,1,Rejected
Female,State servant,68800.0,3.4,Secondary,18000.0,4,0,0,Rejected
Female,Commercial associate,28000.0,10.1,Secondary,21700.0,0,1,0,Rejected
Female,Working,55000.0,12.9,Higher education,12700.0,2,0,0,Approved
Female,Working,52200.0,13.7,Secondary,11400.0,4,0,1,Approved
Female,Commercial associate,95100.0,9.3,Secondary,7200.0,4,0,2,Rejected
Female,Working,26100.0,6.1,Secondary,25700.0,1,0,0,Rejected
Male,Commercial associate,50400.0,10.6,Lower secondary,3100.0,4,1,1,Rejected
Female,Working,48200.0,0.5,Secondary,8600.0,2,1,2,Rejected
Male,State servant,92200.0,0.0,Secondary,6500.0,3,1,0,Approved
Male,Working,58700.0,8.8,Secondary,6300.0,3,0,default,Rejected
Male,Commercial associate,134400.0,1.3,Higher education,25200.0,2,0,0,Rejected
Female,Working,80700.0,6.2,Incomplete higher,10900.0,0,0,2,Approved
Male,Student,49800.0,7.1,Secondary,7100.0,1,2,0,Rejected
Male,Student,66700.0,7.8,Secondary,15100.0,4,1,late,Rejected
Male,Pensioner,51100.0,11.4,Secondary,14200.0,1,0,0,Approved
Male,Working,88100.0,10.8,Higher education,21400.0,1,0,0,Approved
Male,Working,32900.0,7.5,Lower secondary,16200.0,2,1,2,Approved
Male,Pensioner,41300.0,4.2,Secondary,11200.0,0,0,0,Approved
Female,Pensioner,73500.0,7.1,Secondary,11800.0,2,1,0,Rejected
Male,Working,103900.0,3.4,Higher education,15700.0,1,0,0,Rejected
Female,Working,22200.0,5.5,Higher education,5700.0,1,0,0,Approved
Male,Working,111100.0,20.1,Secondary,14000.0,2,0,0,Approved
Male,Pensioner,56200.0,7.4,Secondary,31700.0,1,0,0,Approved
Female,Commercial associate,25600.0,8.8,Secondary,12700.0,4,0,0,Rejected
Male,Commercial associate,15500.0,2.8,Higher education,9200.0,1,2,0,Rejected
Female,Commercial associate,30100.0,11.8,Higher education,9100.0,2,0,2,Rejected
Male,Working,59300.0,10.5,Higher education,15300.0,1,0,0,Rejected
Female,Working,58100.0,10.5,Incomplete higher,13500.0,3,0,0,Rejected
Male,Working,79600.0,7.6,Secondary,18500.0,0,0,0,Approved
Female,Pensioner,46800.0,11.9,Secondary,7500.0,1,0,2,Rejected
Male,Working,36400.0,13.1,Secondary,10400.0,1,0,0,Approved
Male,Working,49700.0,8.0,Incomplete higher,20600.0,6,1,0,Rejected
Male,Working,60800.0,5.9,Higher education,21700.0,2,0,1,Rejected
Male,Working,66400.0,11.2,Secondary,21800.0,2,1,0,Rejected
Male,Commercial associate,42000.0,1.8,Secondary,19200.0,0,1,1,Rejected
Male,Working,89800.0,2.8,Higher education,19600.0,1,0,0,Rejected
Female,Working,45300.0,6.2,Higher education,14000.0,3,0,1,Rejected
Male,Pensioner,40500.0,0.0,Higher education,3700.0,5,0,0,Rejected
Female,Working,46900.0,10.8,Secondary,4100.0,3,1,0,Rejected
Male,Working,97100.0,1.5,Lower secondary,12500.0,2,1,0,Approved
Female,Working,56400.0,4.0,Higher education,12900.0,3,1,0,Rejected
Male,Pensioner,43800.0,5.4,Higher education,6200.0,2,1,1,Rejected
Male,Working,90800.0,6.7,Higher education,6500.0,5,0,0,Approved
Female,Pensioner,157000.0,4.7,Lower secondary,11200.0,2,0,0,Approved
Male,State servant,65800.0,6.1,Lower secondary,43400.0,1,0,0,Rejected
Male,Commercial associate,104300.0,6.2,Higher education,5300.0,3,1,1,Rejected
Male,Working,95400.0,4.2,Secondary,8900.0,0,0,3,Rejected
Male,Pensioner,45600.0,2.5,Secondary,21400.0,1,2,0,Rejected
Male,Working,60600.0,12.1,Incomplete higher,18900.0,3,0,0,Rejected
Male,Working,33600.0,0.0,Higher education,14700.0,2,0,1,Rejected
Female,Commercial associate,54600.0,5.4,Secondary,2400.0,5,2,2,Rejected
Female,Working,45200.0,4.1,Secondary,10000.0,2,1,0,Rejected
Female,Working,49900.0,8.7,Lower secondary,36100.0,3,1,0,Rejected
Male,Working,42700.0,0.0,Incomplete higher,6400.0,1,2,1,Rejected
Female,Working,52600.0,3.9,Lower secondary,6200.0,0,0,0,Rejected
Male,Working,76100.0,6.0,Secondary,30800.0,0,2,default,Rejected
Male,Commercial associate,56700.0,12.1,Incomplete higher,11200.0,1,1,2,Rejected
Female,State servant,25900.0,8.2,Incomplete higher,2500.0,2,0,2,Rejected
